INFO 2018-06-10 15:36:47,833 54 id: 5b16ab51898e0a1465a2d638 updated coordinate
INFO 2018-06-10 15:36:47,966 41 id: 5b16ab51898e0a1465a2d63a got wrong coordinate
INFO 2018-06-10 15:36:47,968 41 id: 5b16ab51898e0a1465a2d63c got wrong coordinate
INFO 2018-06-10 15:36:47,969 41 id: 5b16ab51898e0a1465a2d63d got wrong coordinate
INFO 2018-06-10 15:36:47,975 54 id: 5b16ab51898e0a1465a2d639 updated coordinate
INFO 2018-06-10 15:36:47,977 54 id: 5b16ab51898e0a1465a2d63b updated coordinate
INFO 2018-06-10 15:36:47,978 54 id: 5b16ab51898e0a1465a2d63e updated coordinate
INFO 2018-06-10 15:36:47,980 54 id: 5b16ab51898e0a1465a2d63f updated coordinate
INFO 2018-06-10 15:36:47,982 54 id: 5b16ab51898e0a1465a2d640 updated coordinate
INFO 2018-06-10 15:36:47,984 54 id: 5b16ab51898e0a1465a2d641 updated coordinate
INFO 2018-06-10 15:36:47,987 54 id: 5b16ab51898e0a1465a2d642 updated coordinate
INFO 2018-06-10 15:36:48,132 54 id: 5b16ab51898e0a1465a2d643 updated coordinate
INFO 2018-06-10 15:36:48,136 54 id: 5b16ab51898e0a1465a2d644 updated coordinate
INFO 2018-06-10 15:36:48,145 54 id: 5b16ab51898e0a1465a2d645 updated coordinate
INFO 2018-06-10 15:36:48,147 54 id: 5b16ab51898e0a1465a2d646 updated coordinate
INFO 2018-06-10 15:36:48,149 54 id: 5b16ab51898e0a1465a2d647 updated coordinate
INFO 2018-06-10 15:36:48,151 54 id: 5b16ab51898e0a1465a2d648 updated coordinate
INFO 2018-06-10 15:36:48,156 54 id: 5b16ab51898e0a1465a2d649 updated coordinate
INFO 2018-06-10 15:36:48,160 54 id: 5b16ab51898e0a1465a2d64a updated coordinate
INFO 2018-06-10 15:36:48,164 54 id: 5b16ab51898e0a1465a2d64b updated coordinate
INFO 2018-06-10 15:36:48,167 54 id: 5b16ab51898e0a1465a2d64c updated coordinate
INFO 2018-06-10 15:36:48,304 41 id: 5b16ab51898e0a1465a2d64d got wrong coordinate
